metric,v1,residual_none_control,residual_none_guarded,residual_matching_control,residual_matching_guarded,residual_ambiguity_control,residual_ambiguity_guarded
non_rigid_temporal_residual_epe_px,0.40113879589913026,0.40187567063020646,0.4027458437908269,0.40005268022257245,0.40211786867292093,0.4009314464986153,0.40239926749415306
prediction_coverage,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075
prediction_valid_fraction,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075
recoverable_to_1px_rate,0.5053274465157805,0.5049217385004047,0.5041763460778762,0.5303331432083428,0.5194042757265067,0.5138916965040577,0.506354654672221
rejection_task_failure_rate,0.2654313649164302,0.30745625100613716,0.30607975158380446,0.26233831764673443,0.2923512228846957,0.30432199472939764,0.3076783052958911
removed_large_5px_vs_v1_rate,0.0,4.839056161251961e-05,9.717080850693468e-05,7.359087257183124e-05,0.00013289659845785152,6.304551167808853e-05,9.55285633903752e-05
rigid_temporal_residual_epe_px,0.2070133529295863,0.20721491765411107,0.20786344518093733,0.20651755406990036,0.2081408157318239,0.20668808757414336,0.20772185905328594
scale_error_log,0.0023643838735119284,0.002368345757215352,0.002360434881506779,0.002360016101035104,0.0023549854124303308,0.0023695914873010163,0.0023615536253823828
spring_boundary_bad1,0.31108591258294016,0.3114403711538652,0.31141953558329205,0.31024414827832364,0.3105875634528352,0.3113293387790878,0.3112658709836083
spring_boundary_epe_px,1.4080418383139552,1.4103460877006035,1.4122391595035944,1.4082917836302915,1.4112954823389627,1.4099594091684904,1.411323124675471
spring_high_detail_bad1,0.5637003414815295,0.5647194351052525,0.5647065799349753,0.5644756689388716,0.5644546185975428,0.5647175068297109,0.5643096765526675
spring_high_detail_epe_px,3.07545492132473,3.083516240143572,3.0900019596465875,3.0827675704939845,3.091378280380013,3.083746596966278,3.0873088736999383
spring_low_detail_bad1,0.04884762953292622,0.04887359447083472,0.048892292124989946,0.04864872337266981,0.048745456757410016,0.048836698410826426,0.04887613097430539
spring_low_detail_epe_px,0.29576947781164303,0.29598833295064436,0.29623141778245465,0.295311799641406,0.29596041394755185,0.2958709164868523,0.2961586061473833
spring_matched_bad1,0.2579814837153132,0.25820949321310294,0.25823673154828586,0.25899740578954206,0.25847791397619685,0.2582098145040815,0.25805470235942884
spring_matched_epe_px,1.279725124174975,1.281868991611687,1.2826084874740313,1.283771955440531,1.283633936335909,1.282004054417645,1.281735725335197
