metric,v1,none_control,none_mild,none_balanced,none_recover,none_protect
spring_unmatched_completion_2px,0.9847693478020908,0.9847845975717688,0.9846800072696114,0.9845480924457249,0.9845166391378111,0.9844734711096861
static_epe_px,0.38483830065127045,0.3845078417689488,0.38055463081984714,0.3811278477447931,0.3803363852856241,0.38120693080702783
static_penalized_epe_px,0.30293328129298713,0.30286388879693893,0.30349930979124873,0.305293359340995,0.3041375118563372,0.3056337689940744
static_pixels,1.0,1.0,1.0,1.0,1.0,1.0
temporal_disocclusion_completion_1px,0.8072329404572298,0.8069905336360945,0.8070746339617945,0.8072993354512035,0.8065109274443317,0.8072132389361422
temporal_disocclusion_completion_2px,0.8861495095492925,0.885976882564961,0.8860552546951025,0.8861445624713102,0.8858336776759982,0.8860592470738251
temporal_disocclusion_current_epe_px,1.0240037967619038,1.0276374164861857,1.0247764260391263,1.0227715942338917,1.0276667903394419,1.0235804739946706
temporal_large_motion_penalized_delta_epe_px,0.25072727392769417,0.2503472549133794,0.252448061741017,0.25716326663203126,0.2523631869990772,0.256383384615055
temporal_matched_common_valid_delta_epe_px,0.4068817859334396,0.405516156662837,0.4028669226852072,0.4073118129750959,0.40260614446286,0.4063776121506597
temporal_matched_penalized_delta_epe_px,0.2582750298404227,0.2579666490637559,0.26120512020392045,0.2675054702038695,0.2627966185506592,0.2673064018914982
temporal_medium_motion_penalized_delta_epe_px,0.1386002171986689,0.13759857752777502,0.1368706780018695,0.13889806235068433,0.13600520666107488,0.13808824458856972
temporal_prediction_transport_miss_rate,0.00498589849879773,0.0050042483535761685,0.005002431274366018,0.0049957571200442965,0.005031868771491731,0.005010869603016071
temporal_small_motion_penalized_delta_epe_px,0.2897734094872344,0.2896833206986846,0.2951047723764918,0.30421828022849545,0.2992955329653097,0.3048759433649128
uncertainty_1sigma_coverage,0.8745534696790634,0.874570751647313,0.8746206383980575,0.8744664247055723,0.8745470884914782,0.8746821347290856
uncertainty_2sigma_coverage,0.9693019840499937,0.9692998914983081,0.9692949975953177,0.9692709183183579,0.9692037296892623,0.9693733757015518
uncertainty_brier,0.0490936870378639,0.04902482949784394,0.04916549114551719,0.04944829533036273,0.04926708768356978,0.049523274248332305
uncertainty_ece,0.048291030583228645,0.04822082196895167,0.04836227127458233,0.04864790460451965,0.04846507871504481,0.0487249402993911
uncertainty_nll,-2.8438761131708032,-2.8439946106532017,-2.8438806048888496,-2.8428419480312224,-2.843671747066053,-2.843991133170135
validity_confidence_brier_0p1_log_depth,0.0490936870378639,0.04902482949784394,0.04916549114551719,0.04944829533036273,0.04926708768356978,0.049523274248332305
validity_confidence_ece_0p1_log_depth,0.048291030583228645,0.04822082196895167,0.04836227127458233,0.04864790460451965,0.04846507871504481,0.0487249402993911
metric_depth_rmse,2.69189200358267,2.6929091446678814,2.692949773617674,2.6917847017665792,2.69646096288862,2.690712201088727
epe_at_99pct_coverage_px,0.3133879161655182,0.3132826559036956,0.31446118604579276,0.3166109798996507,0.315865812556637,0.3173663674049539
