metric,v1,learned_codd_codd,learned_codd_codd_regret,learned_codd_margin01_codd,learned_codd_margin01_codd_regret
spring_low_detail_epe_px,0.29576947781164303,0.2942819015914548,0.2944432939592208,0.2951542804128689,0.29565043561171017
spring_matched_bad1,0.2579814837153132,0.2561262425080745,0.2563359741190835,0.25756580458704276,0.25814891201414425
spring_matched_epe_px,1.279725124174975,1.2679560495290612,1.2707006089339985,1.2758131515551934,1.2824313993942982
spring_unmatched_completion_1px,0.95674073012179,0.9570381943230083,0.9569912533296392,0.9568997883987606,0.9568587974052687
spring_unmatched_completion_2px,0.9847693478020908,0.9850184919406125,0.9849812507524218,0.9849458644651128,0.9849075389705043
static_epe_px,0.38483830065127045,0.3841080254946632,0.38177761796707727,0.38373420827122406,0.38176444638985085
static_penalized_epe_px,0.30293328129298713,0.30150446069484005,0.301604670081936,0.30267120768303524,0.30315838406602874
static_pixels,1.0,1.0,1.0,1.0,1.0
temporal_disocclusion_completion_1px,0.8072329404572298,0.8077321613792384,0.8077661833892223,0.8076738379335517,0.8075970280385626
temporal_disocclusion_completion_2px,0.8861495095492925,0.8863688300065102,0.886423247864316,0.8864573566651418,0.8864005954546074
temporal_disocclusion_current_epe_px,1.0240037967619038,1.0277703690191557,1.0250977558965204,1.017848571488782,1.0175559246320955
temporal_large_motion_penalized_delta_epe_px,0.25072727392769417,0.24986188194282957,0.25065064397479997,0.2557142596570904,0.2575980863464762
temporal_matched_common_valid_delta_epe_px,0.4068817859334396,0.40972901190662614,0.4077344214391551,0.41254164919281416,0.41168815999169567
temporal_matched_penalized_delta_epe_px,0.2582750298404227,0.25962995444562054,0.26048762162438494,0.2649841977483465,0.2673317429033526
temporal_medium_motion_penalized_delta_epe_px,0.1386002171986689,0.1507321550893935,0.15097589259225974,0.14986994288452354,0.14999915587133314
temporal_prediction_transport_miss_rate,0.00498589849879773,0.004946620693653771,0.0049470154454642635,0.004944990816333131,0.004956408096790197
temporal_small_motion_penalized_delta_epe_px,0.2897734094872344,0.2920137097614947,0.2930717029697787,0.29786163802195315,0.30120862735249504
uncertainty_1sigma_coverage,0.8745534696790634,0.8739988518959333,0.874124090417458,0.8740018921684582,0.8739687199480659
uncertainty_2sigma_coverage,0.9693019840499937,0.9689316900061041,0.9689897398985332,0.9689249922479024,0.9689505110252128
uncertainty_brier,0.0490936870378639,0.04884633196112885,0.0489197925908192,0.0488715196565771,0.04895747037290139
uncertainty_ece,0.048291030583228645,0.04804484719185261,0.04811712879648102,0.04806194702316984,0.04814821483680543
uncertainty_nll,-2.8438761131708032,-2.8417265096288102,-2.842080661448031,-2.8403954325759693,-2.839844319042786
validity_confidence_brier_0p1_log_depth,0.0490936870378639,0.04884633196112885,0.0489197925908192,0.0488715196565771,0.04895747037290139
validity_confidence_ece_0p1_log_depth,0.048291030583228645,0.04804484719185261,0.04811712879648102,0.04806194702316984,0.04814821483680543
metric_depth_rmse,2.69189200358267,2.70845510078324,2.704941116999606,2.705585275908645,2.7010921550662528
