metric,A5,v1,late,early_seed,early_state,zero_endpoint_only,zero_causal_each_frame
fg_bg_error_px,7.7691545356844856,3.9367926145560843,7.770019416870371,7.791700632613818,7.741656846874767,7.766267471526971,7.761981791608128
fg_bg_foreground_gt_error_px,7.1046251105885085,2.910199737572226,7.092006959356724,7.025041679847904,6.933211794619725,7.102677244271146,7.108140118529123
fg_bg_spurious_mixing_rate,0.0,0.1261109306737115,0.0025895948037693655,0.014705673516823663,0.03059872183134239,0.002590510988026846,0.002596466185700471
fixed_opportunity_epe_px,1.398697584381759,1.0599092696347319,1.3966629482413213,1.3953043218294616,1.3855721473320552,1.3981355842288183,1.3981172533770907
fixed_opportunity_recovery_rate,0.0,0.356738871865481,0.03141569343328153,0.032302525216416786,0.04647927298368878,0.0009363976177053934,0.005810779830529993
good_current_damage_rate,0.0,0.015482018153250244,0.004556981412798595,0.003923790877581189,0.004571234148445,3.061787338805486e-05,0.0002826912139800269
gt_valid_pixels,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573
large_degradation_1px_rate,0.0,0.00280314142960865,7.656321694139109e-05,0.0008762073563419641,0.0008216693105885222,7.311768330095817e-05,7.315347072480571e-05
large_degradation_5px_excess_mean,0.0,0.01332560879584606,0.00014450583481440344,0.002378978641809361,0.0020260859211618473,0.0001446369421152977,0.00014452194418810535
large_degradation_5px_rate,0.0,0.001183098433166143,2.1943655389185213e-05,0.00024317156866362824,0.0002594290000414816,2.2011253856452792e-05,2.1973478242391497e-05
metric_depth_absrel,0.030987669185627616,0.030842524743474205,0.03086622367918391,0.030938209709202857,0.03092516978124684,0.030989024499129353,0.0309891684772813
metric_depth_rmse_squared,7.36250233030285,7.246282558952321,7.244047562866672,7.28542285263929,7.314767869707611,7.364324272468014,7.322432786419604
new_large_5px_vs_v1_rate,0.0,0.0,1.93212324972458e-05,0.00022227966589751804,0.0002283675043320279,1.939479553515464e-05,1.9364972681948352e-05
non_rigid_temporal_residual_epe_px,0.46413342103884137,0.40113879589913026,0.47356924181066085,0.47328108537562397,0.47098262734824553,0.4640413720045352,0.4681067284478269
prediction_coverage,0.9985836570319075,0.9985836570319075,0.9980462134297063,0.998130991848611,0.9981055927186303,0.9985908483159106,0.9983770423167041
prediction_valid_fraction,0.9985836570319075,0.9985836570319075,0.9980462134297063,0.998130991848611,0.9981055927186303,0.9985908483159106,0.9983770423167041
recoverable_to_1px_rate,0.0,0.5053274465157805,0.046972895975806186,0.054610306238195926,0.07046287254134591,0.00458762140463423,0.01997221990033101
rejection_task_failure_rate,0.0,0.2654313649164302,0.037533104321935434,0.04963461841200647,0.06288850236092035,0.0006581582419941127,0.005228207476381161
removed_large_5px_vs_v1_rate,0.001183098433166143,0.0,0.0011804760102742035,0.0011622065304000328,0.0011520369374566893,0.0011804819748448448,0.0011804899276056998
